Mix100	0	264600
Mix100	132300	396900
Mix100	264600	529200
Mix100	396900	661500
Mix100	529200	793800
Mix100	661500	926100
Mix100	793800	1058400
Mix100	926100	1190700
Mix100	1058400	1323000
Mix100	1190700	1455300
Mix100	1323000	1587600
Mix100	1455300	1719900
Mix100	1587600	1852200
Mix100	1719900	1984500
Mix101	0	264600
Mix101	132300	396900
Mix101	264600	529200
Mix101	396900	661500
Mix101	529200	793800
Mix101	661500	926100
Mix101	793800	1058400
Mix101	926100	1190700
Mix101	1058400	1323000
Mix101	1190700	1455300
Mix101	1323000	1587600
Mix101	1455300	1719900
Mix101	1587600	1852200
Mix101	1719900	1984500
Mix102	0	264600
Mix102	132300	396900
Mix102	264600	529200
Mix102	396900	661500
Mix102	529200	793800
Mix102	661500	926100
Mix102	793800	1058400
Mix102	926100	1190700
Mix102	1058400	1323000
Mix102	1190700	1455300
Mix102	1323000	1587600
Mix102	1455300	1719900
Mix102	1587600	1852200
Mix102	1719900	1984500
Mix103	0	264600
Mix103	132300	396900
Mix103	264600	529200
Mix103	396900	661500
Mix103	529200	793800
Mix103	661500	926100
Mix103	793800	1058400
Mix103	926100	1190700
Mix103	1058400	1323000
Mix103	1190700	1455300
Mix103	1323000	1587600
Mix103	1455300	1719900
Mix103	1587600	1852200
Mix103	1719900	1984500
Mix104	0	264600
Mix104	132300	396900
Mix104	264600	529200
Mix104	396900	661500
Mix104	529200	793800
Mix104	661500	926100
Mix104	793800	1058400
Mix104	926100	1190700
Mix104	1058400	1323000
Mix104	1190700	1455300
Mix104	1323000	1587600
Mix104	1455300	1719900
Mix104	1587600	1852200
Mix104	1719900	1984500
Mix105	0	264600
Mix105	132300	396900
Mix105	264600	529200
Mix105	396900	661500
Mix105	529200	793800
Mix105	661500	926100
Mix105	793800	1058400
Mix105	926100	1190700
Mix105	1058400	1323000
Mix105	1190700	1455300
Mix105	1323000	1587600
Mix105	1455300	1719900
Mix105	1587600	1852200
Mix105	1719900	1984500
Mix106	0	264600
Mix106	132300	396900
Mix106	264600	529200
Mix106	396900	661500
Mix106	529200	793800
Mix106	661500	926100
Mix106	793800	1058400
Mix106	926100	1190700
Mix106	1058400	1323000
Mix106	1190700	1455300
Mix106	1323000	1587600
Mix106	1455300	1719900
Mix106	1587600	1852200
Mix106	1719900	1984500
Mix106	1852200	2116800
Mix106	1984500	2249100
Mix106	2116800	2381400
Mix106	2249100	2513700
Mix106	2381400	2646000
Mix106	2513700	2778300
Mix106	2646000	2910600
Mix106	2778300	3042900
Mix106	2910600	3175200
Mix106	3042900	3307500
Mix106	3175200	3439800
Mix106	3307500	3572100
Mix106	3439800	3704400
Mix106	3572100	3836700
Mix106	3704400	3969000
Mix106	3836700	4101300
Mix106	3969000	4233600
Mix106	4101300	4365900
Mix106	4233600	4498200
Mix106	4365900	4630500
Mix106	4498200	4762800
Mix106	4630500	4895100
Mix106	4762800	5027400
Mix106	4895100	5159700
Mix106	5027400	5292000
Mix106	5159700	5424300
Mix106	5292000	5556600
Mix106	5424300	5688900
Mix106	5556600	5821200
Mix106	5688900	5953500
Mix106	5821200	6085800
Mix106	5953500	6218100
Mix106	6085800	6350400
Mix106	6218100	6482700
Mix106	6350400	6615000
Mix106	6482700	6747300
Mix106	6615000	6879600
Mix106	6747300	7011900
Mix106	6879600	7144200
Mix106	7011900	7276500
Mix106	7144200	7408800
Mix107	0	264600
Mix107	132300	396900
Mix107	264600	529200
Mix107	396900	661500
Mix107	529200	793800
Mix107	661500	926100
Mix107	793800	1058400
Mix107	926100	1190700
Mix107	1058400	1323000
Mix107	1190700	1455300
Mix107	1323000	1587600
Mix107	1455300	1719900
Mix107	1587600	1852200
Mix107	1719900	1984500
Mix108	0	264600
Mix108	132300	396900
Mix108	264600	529200
Mix108	396900	661500
Mix108	529200	793800
Mix108	661500	926100
Mix108	793800	1058400
Mix108	926100	1190700
Mix108	1058400	1323000
Mix108	1190700	1455300
Mix108	1323000	1587600
Mix108	1455300	1719900
Mix108	1587600	1852200
Mix108	1719900	1984500
Mix109	0	264600
Mix109	132300	396900
Mix109	264600	529200
Mix109	396900	661500
Mix109	529200	793800
Mix109	661500	926100
Mix109	793800	1058400
Mix109	926100	1190700
Mix109	1058400	1323000
Mix109	1190700	1455300
Mix109	1323000	1587600
Mix109	1455300	1719900
Mix109	1587600	1852200
Mix109	1719900	1984500
Mix110	0	264600
Mix110	132300	396900
Mix110	264600	529200
Mix110	396900	661500
Mix110	529200	793800
Mix110	661500	926100
Mix110	793800	1058400
Mix110	926100	1190700
Mix110	1058400	1323000
Mix110	1190700	1455300
Mix110	1323000	1587600
Mix110	1455300	1719900
Mix110	1587600	1852200
